Topic,Count,Name,Representation,Representative_Docs
9,70,9_justice_procedural_distributive_procedural justice,"['justice', 'procedural', 'distributive', 'procedural justice', 'distributive justice', 'fairness', 'injustice', 'trust', 'interactional', 'interpersonal justice']","['distributive justice procedural justice affective mediation moderation framework unexamined distributive justice procedural justice interact predict mediation moderation framework show affective mediate distributive justice mediate vary supervisory procedural justice specifically high procedural justice affective partially mediate distributive justice link low procedural justice affective fully mediate link draw attention importance affective absence distributive procedural fairness b supervisory procedural justice attenuate adverse low affective periodical', 'investigation justice mediating empirically dimension justice i.e. distributive procedural interactional mediating justice dimension gather manufacture industry spss hierarchical regression conduct hypothesis direct mediate perceive distributive procedural justice distributive justice procedural interactional justice intention.the indicate significantly positively affect partially mediate distributive academy economic distributive justice interactional justice justice procedural justice', 'intra- inter justice assess direction structural equation distributive procedural justice justice component justice component behavioral time procedural justice judgment likely distributive justice vice versa distributive justice procedural justice reciprocal case contingent lag procedural justice i.e. compliance performance justice behavior direction distributive justice justice procedural justice']"
10,62,10_nurse_nursing_hospital_care,"['nurse', 'nursing', 'hospital', 'care', 'environment', 'work environment', 'work', 'quality', 'intent', 'critical care']","['attribute nursing work environment register nurse leave line register nurse perception work environment associate predict nurse term point link attribute nursing work environment nurse paucity nurse perception work environment western cross sectional involve register nurse work inpatient unit public hospital hong kong instrument comprise item develop depth interview line nurse nurse perception work environment identify dimension professionalism co worker staffing resource ward practice nursing work environment logistic regression identify professionalism ward practice predict nurse staffing resource additional predict attribute nursing work environment nurse leave nursing managerial effort focus improve nurse work detailed resource planning effective work constraint affect nursing practice blackwell ltd leave nurse work environment', 'jordanian nursing work environment intent stay nursing work environment nurse intent stay nurse practice hospital jordan quantitative descriptive cross sectional distribute register nurse rns work hospital jordan self report consist instrument demographic instrument practice environment scale nursing work index pes nwi intent stay scale quinn global descriptive statistic calculate discrete measure demographic characteristic participant multivariate linear regression nursing work environment intent stay adjust unit association nurse nursing work environment t = 6.42 p < .001 unit increase total score pes nwi nurse average increase 1.3 point control overall nurse employ public hospital satisfied work teaching hospital nursing work environment positively associate nurse intent stay t = 4.83 p < .001 intent stay score increase 3.6 point unit increase total pes nwi score average high intent stay score report nurse public hospital work environment positively associate nurse intent stay attention pay create work environment increase nurse increase intent stay clinical relevance hospital nurse healthcare policymaker urgently need create satisfactory work environment nursing practice order increase nurse intent stay theta tau international intent stay jordan nurse nursing work environment', 'magnet hospital make nursing practice environment attractive world system enter critical period human resource shortage shortage qualified nurse important barrier achieve effective healthcare system accord currently shortage 7.2 million care provider international shortage estimate reach 12.9 million order develop healthcare system achieve ensure patient safety recruit nurse global concern nursing shortage iran concern major challenge healthcare system nursing iran ministry medical education report nurse work care setting estimate 140,000 need 2,60,000 nurse deliver ideal care qualified nurse adequacy essential component nursing professional practice environment poor nursing work environment inadequate resource workload disproportionate ratio high bureaucracy lack supportive low salary reduction employment major challenge iran healthcare system face crisis nursing shortage despite large young nursing graduate nursing practice environment retention expert nurse quality care safety poor nursing work environment adverse patient increase mortality rate patient fall medication error unhealthy workplace important efficient nurse leave early retirement dissatisfaction burnout effort create environment attract retain nurse worthwhile different strategy propose improve nurse work environment make workplace attractive basis increase quality nursing practice environment today hospital magnet hospital renowned attract retain expert nurse magnet hospital united states early 1980s concurrent nursing shortage crisis united states extensive begin structure magnet hospital american academy nursing aan identify hospital know attract retain qualified nurse term magnet standard nursing practice hospital magnet hospital evaluate term achieve area transformational leadership structural empowerment new knowledge innovation empirical development magnet hospital different structure non magnet one play important nurse retention attractiveness hospital existence work environment focus decision making autonomy control practice resource adequacy supportive effective inter professional communication career development attribute magnet hospital lead nurse empowerment increase autonomy authority subsequently improve hospital work environment standard professional nursing practice show magnet hospital healthy environment high nurse well compare non magnet one year development magnet hospital rapidly grow country complexity nursing shortage phenomenon pay attention nurse attraction retention productivity important overcome challenge nursing shortage nurse dissatisfaction work environment consequently shortage competent educate nurse major challenge iran system crisis vital prevent adverse consequence nursing policy maker create quality work environment feature magnet hospital increase attraction retention care professional especially nurse nurse increase quality care ensure safety tehran university medical science tum magnet hospital nursing practice environment nursing shortage']"
11,57,11_leadership_transformational_transformational leadership_leader,"['leadership', 'transformational', 'transformational leadership', 'leader', 'follower', 'style', 'leadership style', 'authentic', 'authentic leadership', 'tl']","['moderate supervisor subordinate guanxi transformational leadership effectiveness association transformational leadership effectiveness measure term moderate supervisor subordinate guanxi s s guanxi association transformational leadership effectiveness propose hypothesis pls path modeling process macro spss 22.0 different time industrial firm china transformational leadership direct effectiveness furthermore s s guanxi moderate association transformational leadership transformational leadership moderate s s guanxi association transformational leadership unearth theoretical empirical managerial basis llc china effectiveness pls sem supervisor subordinate guanxi transformational leadership', 'transformational leadership mediate trust performance café thailand immediate predictor immediate transformational leadership style trust manager perceive performance conduct cafés hypothesize transformational leadership negatively predict trust performance mediate transformational leadership hypothesis transformational leadership benefit development program instill transformational leadership style immediate llc performance transformational leadership trust', 'transformational leadership work chinese migrant worker mediate identification leader mediate identification leader follower transformational leadership behavior work obtain migrant worker supervisor large manufacture company locate south eastern china hierarchical regression transformational leadership positively affective performance follower negatively contrast transformational leadership innovative behavior follower subsequent identification leader mediate transformational leadership follower attitude mediate transformational leadership follower performance importance cultural wide contextual process leadership work migrant worker chinese manufacturing industry managerial suggestion author(s permission sagepub.co.uk/journalspermissions.nav identification innovative behavior performance transformational leadership']"
12,54,12_chinese_cultural_expatriate_china,"['chinese', 'cultural', 'expatriate', 'china', 'value', 'repatriate', 'culture', 'collectivism', 'multinational', 'country']","['parent company local operation comparison local western expatriate work multinational company nature local parent company local operation comparison nature western expatriate foci local western expatriate currently work subsidiary multinational company mnc vietnam hypothesis exploratory confirmatory correlation t generalize linear hierarchical regression confirm distinct foci local operation strong parent company local remarkably retention absenteeism drive local operation parent company local contrast drive parent company western expatriate work autonomy variety transformational leadership remuneration positively predict affective local operation particularly variety leadership well local western expatriate practical comparison show effective way sustain reinforce foci information help rate absenteeism mnc originality value multifaceted comparison dual different category work mnc second show strong focus strong i.e. retention absenteeism mnc focus reinforce select focus order cost initially point work exert different foci control work sustain develop expatriation repatriation international human resource behaviour work engagement', 'education chinese company multi chinese company world stage business leverage knowledgeable collaborative workforce meet new challenge prominent individual attribute education create work tension human capital practice chinese company nearly worker chinese company multi high education work affective aoc positively leave behavior relation aoc personalize leadership common leadership style high power distance culture china exacerbate problem high education diminish benefit conversely regardless leadership style supervisor involve worker decision make activity worker educated likely leave self report common variance reliability personalized leadership slightly 0.70 dimension reflect leadership style focus personal expression cultural value narrow et al practical member endorse likely high affective select high scale high likelihood attach emotionally simply conclude bad instead utilize effective cultivate leadership vision supervisor finally independent leadership personalize retain value educate worker decision make activity social education serve double edged sword employer hypothesize education negatively affective knowledge culture individual i.e. affect attitude behavior worker highly value function tend affectively originality value educational cultural orientation antecedent affective especially chinese business worker education grow phenomenon traditional characteristic chinese worker understand dynamic individual linkage generally helpful understand phenomenon house et al framework feature hierarchical nature inquiry education human capital leader national culture', 'understand chinese non managerial response western hrm chinese low perspective western style hrm neglect partly remedy gap report non managerial feeling employment chinese own enterprise anglo american multinational corporation mnc appreciation enterprise work link enterprise hrm environment chinese cultural emphasis increase pride enterprise feel responsible work correlate significantly increase stay increase feeling involve enterprise decision making chinese non managerial appreciate western style hrm practice resonate cultural value chinese cultural emphasis collectivism power distance remain important non managerial chinese mnc unit hrm practice need account possible difference outlook subordinate key point non managerial neglect area response chinese mnc non managerial western hrm environment non managerial cultural emphasis help experience western hrm environment increase non managerial feeling hr work pride enterprise feel responsible work correlate increase stay increase feeling involvement enterprise decision making chinese mnc unit western hr practice account possible difference outlook subordinate australian human resources institute china contextual cultural emphasis perspective hrm']"
13,52,13_burnout_nurse_nursing_environment,"['burnout', 'nurse', 'nursing', 'environment', 'hospital', 'work environment', 'work', 'nurse burnout', 'leave', 'resilience']","['correlation nursing work environment nurse burnout western region mainland china nurse burnout low nurse leave position improve nursing work environment severity burnout dissatisfaction decrease nursing staff correlation nursing work environment burnout western region mainland china cross sectional descriptive february december 1,112 clinical nurse work medical surgical intensive care unit hospital western region mainland china multistage sampling conduct participant instrument practice environment scale nursing work index maslach burnout inventory nurse scale self develop basic information statistical perform statistical package social sciences spss version 19.0 statistical significance p < .05 dimension nursing work environment collegial nurse physician earn favorable mean score 3.57 ± 0.68 total = point adequacy staffing resource earn low 3.21 ± 0.82 half participant 58.4 report experience high emotional exhaustion ee burnout 45.2 report experience high depersonalization dp burnout 24.6 report experience high personal accomplishment pa burnout participant satisfied work 3.8 report leave participant self report favorable work environment likely report high burnout likely report leave likely report peer self report poor work environment odd ratio value 0.64 ee 0.66 dp 0.57 pa 0.19 2.26 practice present nursing work environment affect nurse burnout nursing work improve nursing work environment order intent nursing staff burnout nursing work environment', 'nurse burnout patient amid national nurse shortage grow concern high nurse burnout adversely affect patient nurse work environment nurse burnout nurse work environment nurse burnout nursing care subject conduct cross sectional nurse n=820 n=621 unit urban hospital united states measure nurse measure nurse practice environment derive revise nursing work index nwi r nurse measure maslach burnout inventory mbi leave nursing care la monica oberst patient scale lopss care unit nurse characterize have adequate staff good administrative nursing care good doctor nurse twice likely report high care nurse report significantly low burnout overall nurse burnout hospital unit affect patient improvement nurse work environment hospital simultaneously nurse high burnout risk increase care', 'hospital work environment nurse guangdong china nurse hospital work environment burnout leave nurse guangdong province china nursing shortage urgent global problem concern china western country show well work environment associate high nurse low burnout improve retention lower rate little nurse work environment nurse china cross sectional nurse medical surgical intensive care unit hospital guangdong province china stratify convenience sampling select hospital systematic sampling select unit staff nurse work participate unit china hospital nurse practice environment scale nursing work index maslach burnout inventory employ nurse statistical significance 0·05 thirty seven cent nurse experience high burnout dissatisfied improve nurse work environment poor well associate decrease dissatisfaction decrease burnout nurse burnout dissatisfaction high hospital nurse guangdong province china well work environment nurse associate decrease dissatisfaction burnout successfully nursing shortage china relevance clinical practice indicate improve work environment essential deal nursing shortage motivation nurse policy maker improve work environment hospital nurse china blackwell ltd burnout nursing retention work environment']"
14,47,14_contract_psychological contract_psychological_breach,"['contract', 'psychological contract', 'psychological', 'breach', 'violation', 'contract breach', 'contract violation', 'pcv', 'fulfillment', 'relational']","['psychological contract breach chinese integrative antecedent psychological contract breach psychological contract breach respondent hong kong chinese n = show history contract breach psychological contract breach turn psychological behaviour civic virtue trust employer fully mediate psychological contract breach work psychological behaviour civic virtue partially mediate psychological contract breach lastly interactional justice fail moderate psychological contract breach work', 'psychological contract mediate exist generally psychological contract effective way solve problem labor contract miss incomplete dual identity psychological contract differ ordinary consensus reach intervene high rate term psychological contract psychological contract consideration mediating obtain banking industry province china february june psychological contract dual involve strong psychological contract agency client psychological contract client indirectly mediating individual mediating great continuous mediating psychological contract help develop intervention strategy individual psychology high rate editura psychological contract', 'psychological contract attitude scrutinize psychological contract psychological contract fulfillment cross sectional place duration conduct hospital bank university jam 1st august 1st october material response gather response spss response hierarchical regression relational psychological contract positively realize β = 0.163 p&lt;0.05 transactional psychological contract destructively β = 0.089 p&lt;0.05 psychological contract fulfillment β = 0.179 p&lt;0.05 negatively relational psychological contract β = -0.194 p&lt;0.05 transactional psychological contract β = -0.139 p&lt;0.05 psychological contract fulfillment β = 0.135 p&lt;0.05 relational psychological contract psychological contract fulfillment positively predict transactional psychological contract predictor relational psychological contract negatively predict transactional psychological contract increase psychological contract fulfillment deteriorate end hierarchical regression psychological contract psychological contract fulfillment']"
15,45,15_insecurity_qualitative insecurity_qualitative_ji,"['insecurity', 'qualitative insecurity', 'qualitative', 'ji', 'quantitative insecurity', 'perceive', 'psychological', 'control', 'perceive control', 'uncertainty']","['interactive dual earner couple insecurity link conservation resource crossover present insecurity dual earner couple link conservation resource e.g. hobfoll psychol crossover e.g. hum relat propose partner insecurity constitute additional resource threat partner insecurity exacerbate person reaction insecurity term attitudinal i.e. work engagement health- i.e. psychological time lag multisource mixed gender dual earner couple multilevel path apply actor partner interdependence interesting gender difference insecurity work engagement strong high insecurity show moderated mediation insecurity negatively indirectly psychological work engagement experience medium high insecurity demonstrate interactive dual earner couple importance overcome overly individualistic perspective insecurity particular generally practitioner point insecurity highly stressor large nowadays dual earner couple demonstrate react negatively insecurity experience insecurity dual earner couple advise diversify occupational economic downturn industry sector likely hit partner fact particularly affect insecurity important tailor man usually reluctant counselling rise insecurity underscore need circumvent chronic mental problem adequate intervention company advise communicate transparent way well cope plan merger acquisition downsize british psychological society dual earner couple insecurity stress work engagement', 'reciprocal quantitative qualitative insecurity cross lag longitudinal mediation prior cross sectional indicate quantitative insecurity i.e. threat loss wellbeing fully mediate qualitative insecurity i.e. threat characteristic longitudinal replicate extend view direct qualitative insecurity quantitative insecurity reciprocal concurrent work mean dual mediation modelling identify wide range strain i.e. exhaustion emotional cognitive impairment psychological cope i.e. work engagement behavioral cope i.e. extra performance counterproductive behavior employ wave panel flemish show dual mediation good fit qualitative insecurity predict increase quantitative insecurity month later quantitative insecurity affect qualitative insecurity time demonstrate importance qualitative insecurity severe work stressor antecedent quantitative insecurity herewith stress need causal dimension insecurity licensee mdpi basel switzerland burnout conservation resource cross lag panel performance qualitative insecurity quantitative insecurity work attitude', 'occupation risk empirical insecurity integrate visible societal increase feeling uncertainty workforce fact insecurity represent crucial occupational risk major stressor consequence individual focus consequence fear perception lose quantitative insecurity recently begin extensively worry lose value feature qualitative insecurity vast majority quantitative qualitative insecurity separately propose insecurity integrate quantitative insecurity qualitative insecurity short term long term empirically independent hypothesize qualitative insecurity mediate quantitative insecurity different work engagement identification psychological stress conduct private firm public sector private firm robustly show qualitative insecurity totally mediate quantitative show quantitative insecurity pass qualitative insecurity insecurity integrate clarify insecurity put forward framework profitably produce new investigation important theoretical practical lo occupational risk psychological stress qualitative insecurity quantitative insecurity']"
16,45,16_social_socialization_identification_network,"['social', 'socialization', 'identification', 'network', 'social medium', 'newcomer', 'medium', 'exchange', 'social network', 'nonprofit']","['enemy house antecedent company bad social medium company rating site encourage evaluate company lead loss reputation focus identify importance antecedent company bad social medium qualitative interview n = quantitative online n = draw social identity demand resource theoretical len demand positively associate turn increase company bad social medium enrich understanding behavior social medium strategy successful limit bad ais administrative office company bad behavior demand resource social medium', 'speak like bad social medium voice threaten company reputation speak badly employer focus identify importance antecedent company bad social medium qualitative interview n = quantitative n = hypothesized structural equation modelling draw social identity demand resource theoretical len demand positively associate turn increase company bad social medium employ cross sectional complement mono enrich understanding behavior social medium strategy successful limit bad link demand resource company bad social medium propose corporate reputation behavior reputation institute springer nature company bad behavior demand resource social medium', 'interactive socialization work locus control newcomer work adjustment embeddedness voluntary tend focus general good practice onboarde shift conversation instead question certain socialization beneficial institutionalize socialization considerable structure intend uncertainty help adjust know individual psychological difference react differently socialization interplay socialization effort newcomer individual difference hypothesize work locus control moderate socialization voluntary indirect newcomer work adjustment clarity work mastery social integration embeddedness interaction socialization work locus control time point month general hypothesis external work locus control show high social integration embeddedness low institutionalized socialization low social integration embeddedness high time institutionalized contrast internal work locus control socialization term social integration embeddedness author(s embeddedness newcomer socialization voluntary work adjustment work locus control']"
17,40,17_bullying_workplace_workplace bullying_aggression,"['bullying', 'workplace', 'workplace bullying', 'aggression', 'bully', 'workplace aggression', 'harassment', 'exposure', 'sexual', 'workplace bully']","['psychosocial psychological distress workplace workplace bullying highly prevalent form psychosocial hazard consistently link range individual scholarly effort prevent workplace bullying psychosocial safety climate psc report powerful predictor exposure bully alongside workplace bullying psc structurally psychosocial act demand resource work environment consistent psc social exchange multi workplace bullying mediate psc psychological distress quit inclusion climate buffer workplace bullying quit high workplace bullying likely intend leave perceive high inclusion climate compare perceive low inclusion climate ltd retention stay psychological distress psychosocial risk psychosocial safety climate workplace bully', 'mediate psychological contract breach workplace bullying plethora repercussion workplace bullying depict emotional particularly neglect rational understanding phenomenon workplace bullying work researcher integrate social exchange attribution social learning present inverse association workplace bullying vindicate psychological contract breach furthermore association workplace bullying psychological contract breach meet bear repercussion setting clearly workplace bullying psychological contract breach serve mediator workplace bullying mediation clearly reflect bully deteriorate education society pakistan psychological contract breach workplace bully', 'victim experience workplace bullying ground despite considerable workplace bullying try identify causal measurement construct need draw experience feeling target workplace bullying victim experience perspective information india qualitative depth interview victim workplace bullying ground conceptual antecedent bully behaviour consequence self cope victim demand leadership style supervisor interpersonal conflict emerge major antecedent workplace bullying victim inability adapt personality stimulate workplace bully presence antecedent victim experience bullying behaviour daily life unaware phenomenon new bullying behaviour identify ownership others’work credit grab challenge assignment repeat money victim experience emotion initial reaction bully behaviour bullying behaviour prolong participant experience personal work consequence self cope mechanism identify share emotional experience friend family have easy go attitude voice perceive pos pos important have base pos category victim identify leaver survivor loyal body knowledge bring experience feeling target workplace bullying detailed knowledge phenomenon intervene prevent relevant process victim need empower awareness programme workplace bullying sage publication ltd conceptual exit behaviour ground perceive pos victim experience workplace bully']"
18,37,18_child_child welfare_welfare_child care,"['child', 'child welfare', 'welfare', 'child care', 'worker', 'public child', 'leave', 'agency', 'caseworker', 'welfare worker']","['differential public voluntary child welfare worker leave personal retention public private agency compare similarity difference voluntary public child welfare setting report knowledge differential worker retention voluntary private non profit public child welfare sector expand knowledge child welfare workforce compare difference voluntary public child welfare sector large urban community worker voluntary agency n=538 large public child welfare agency n=144).the bivariate public agency worker satisfied opportunity promotion benefit nature work voluntary agency worker satisfied co worker structural equation sem low investment child welfare work associate intent leave low contingent nature work agency strongly predictive intent leave voluntary child welfare worker strong leave despite fact display high investment child welfare work bivariate key predict voluntary agency worker leave dissatisfaction pay ltd auspex structural equation modeling worker retention', 'predict public child welfare remain employ child welfare culture inventory high continue problem public child welfare statewide public child welfare southern child welfare culture inventory assess culture remain measure intent remain employ child welfare scale logistic regression culture intent remain child welfare view high risk leave position problem high worker ltd child welfare child welfare retention child welfare culture workforce', 'leave social worker child care worker employ voluntary agency introduction ameliorate high child welfare researcher attempt identify lead undesirable extensively little attention pay base like social worker child welfare child care experience high child care worker employ child welfare setting exception seek understand differential intent leave preventive child care worker employ child welfare agency material prevention worker n = obtain preventive service program contract city child care worker n = obtain voluntary agency locate instrument modify version develop public child welfare worker measure leave career agency investment bivariate structural equation sem child care worker child welfare plan stay child welfare long despite prevention worker feel work child care prevention worker different overall differ leave tenure agency predictive career investment investment child welfare nature work contingent associate career supervision great leave gap child care worker child welfare need child care worker likely intend leave prevention worker appear investment increase leave ltd child care child welfare prevention structural equation modeling worker']"
19,34,19_home_care_nursing home_care worker,"['home', 'care', 'nursing home', 'care worker', 'home care', 'worker', 'nursing', 'intent', 'term care', 'leave']","['leave live foreign home care worker israel israel clock home care service foreign worker despite fact worker temporary government need consistency care allow worker stay country long care recipient nonetheless increase concern tendency foreign home care worker view israel temporary station way attractive destination canada england concern evaluate determinant foreign home care worker leave cross sectional filipino home care worker israel worker 8.4 report likely likely leave month final experience home work environment society large depression stress symptom care old adult dementia predictor leave majority worker report leave nonetheless great supervision caregive arrangement attempt protect foreign home care worker home work environment important step follow attitudinal society large training dementia care warrant llc domestic care globalization long term care migration retention', 'high demand low control increase nurse professional leaving care setting profit orientation care setting home care nursing home ownership profit vs. public non profit geriatric care service interact register nurse profession prior employment profit high demand low control important antecedent nurse intent leave care inconclusive mediate moderation predict adverse work characteristic drive professional leaving particularly profit service nursing home representative german register nurse work different team participate cross sectional predict low control high demand associate high professional leaving nurse report high demand public non profit care profit care nursing home compare home care overall rn nursing home home care report similar intent leave profit setting nurse work nursing home report high professional leaving nurse home care link low control profit nursing home setting mediate moderation indicate interplay care setting ownership important nurse profession periodical periodical care setting characteristic ownership', 'associate care worker leave employment nursing home secondary swiss nursing home human resource project emerge care personnel shortage swiss nursing home aggravate high rate leave predictor awareness associate essential apply secondary evaluate prevalence variability 3,984 nursing home care worker leave work environment care worker regression care worker report leave prevalence vary widely facility overall leave show strong inverse supportive leadership affective weak stress workload emotional exhaustion care worker problem strong direct nursing home care worker leave affective leadership quality multilevel intervention improve leave author(s affective leave leadership nursing home physical']"
20,34,20_public_psm_motivation_service motivation,"['public', 'psm', 'motivation', 'service motivation', 'public service', 'sector', 'federal', 'public sector', 'reform', 'service']","['public service motivation proactive behavioral response way interaction apply person fit conditional public service motivation responsible behavior proactive behavioral response respondent public sector association public service motivation responsible behavior affective moderate employment affective joint moderate public service motivation temporary vs. permanent public sector low affective low public service motivation likely high public sector reform theoretical practical reference selection public sector characteristic ensure public sector success scientific journal publisher affective employment person fit proactive behavioral response public sector reform public service motivation responsible behavior', 'public service motivation hold caribbean researcher public administration past decade interested public service motivation psm put psm different cultural psm leadership person fit p o fit public sector trinidad structural equation modeling indicate senior leadership psm psm different western motivation public sector partial mediation psm p o fit need leadership motivation utilize cultural value lens understand public outside north america author(s international public administration leadership person fit public service motivation', 'public service motivation difference public public administration hypothesize public service motivation psm direct attitude public inconsistency psm challenge hypothesis seek person p o fit inconsistency specifically psm public mediate p o fit public indiana psm public p o fit area sage publication public service motivation work motivation']"
21,33,21_emotional_emotional dissonance_dissonance_emotional exhaustion,"['emotional', 'emotional dissonance', 'dissonance', 'emotional exhaustion', 'customer', 'exhaustion', 'hotel', 'emotional labor', 'daily', 'customer verbal']","['cost emotional dissonance work multi present base occupational medical representative industry frontline hospitality industry moderation perceive pos emotional dissonance emotional exhaustion emotional exhaustion mediation emotional exhaustion emotional dissonance conclude contribution practice follow occupational moderation pos emotional dissonance emotional exhaustion emotional exhaustion originality value argue dissonance minimize ensure perceive supportive emotional dissonance emotional exhaustion perceive', 'emotional dissonance emotional exhaustion hotel nigeria develop emotional dissonance emotional exhaustion frontline service gather self administer frontline hotel nigeria neglect develop sub saharan country african continent hierarchical regression demonstrate direct partial mediating majority hypothesized specifically emotional dissonance partially mediate affectivity intrinsic motivation emotional exhaustion emotional exhaustion partially mediate emotional dissonance unexpectedly emotional dissonance positively performance frontline direction ltd emotional dissonance emotional exhaustion hotel nigeria', 'customer verbal aggression hotel central develop customer verbal aggression emotional dissonance emotional exhaustion service recovery performance emotional dissonance emotional exhaustion emotional dissonance exhaustion gather frontline hotel northern cyprus self administer total obtain hypothesize emotional dissonance emotional exhaustion customer verbal aggression demonstrate emotional dissonance amplify exhaustion customer verbal aggression emotional dissonance intensify expect emotional exhaustion service recovery performance aggravate cross sectional constrain ability causal inference longitudinal beneficial causal control common harman single source collection minimize problem practical hotel need arrange training programme enable cope customer have empowerment workplace important manage customer recruit select suitable frontline service position cope difficulty associate customer verbal aggression emotional dissonance emotional exhaustion originality value empirical pertain consequence customer verbal aggression hospitality marketing partially fill gap stream customer verbal aggression complaint consumer behaviour customer hotel northern cyprus']"
22,33,22_stress_work stress_work_stress work,"['stress', 'work stress', 'work', 'stress work', 'performance', 'stress stress', 'workload', 'time demand', 'sig', 'stress performance']","['manage talent digital industry male female differ psychological company increasingly important indonesia particularly new generation especially industry work stress psychological performance female likely male report experience work stress likely report symptom anxiety depression stress total respondent digital industry work stress work family conflict respondent process spss statistical software important difference characteristic behaviour gender simple regression moderated regression work stress work family conflict positively significantly mode split base gender female 37.4 male 16.6 hope help company especially hr leader formulate policy   ieee digital gender psychological work stress work family conflict', 'manage work stress pressure business try surprising work stress widespread organisation stress link high absenteeism staff error compelling organisation need comprehensive tackle psychological work prevention treatment gain increase productivity discretionary effort wellbeing project grow division organisation response signal stress stress risk assessment division stresstool ® online stress risk assessment develop oil gas industry enable identification frequency occurrence work indication perceive harm stressor have prompt response stress have great response rate achieve overall common pressure point division area require attention particular information allow leadership safety team prioritise stress have great people immediate organisational control workload prioritisation meeting division long term safety human resource improvement plan education session target supervisor manage pressure stress team session target interested improve personal stress resilience skill enthusiastically attend participant division assistance programme mechanism peer actively promote project excellent example leadership team safety function proactive step understand improve stress follow begin organisation look improve work stress', 'work stress work performance mediate pt epson indonesia jakarta work stress work performance pt epson indonesia mediation analytical descriptive inferential structural equation sem facilitate amos software work stress work stress work performance performance finally prove mediate work stress work performance useful director develop facility good environment adopt value innovation learn optimize strategy improve performance achieve company ijstr performance stress work']"
23,31,23_medical_doctor_hospital_patient,"['medical', 'doctor', 'hospital', 'patient', 'safety', 'institution', 'care', 'healthcare', 'primary', 'multi site']","['feature systematic prevention healthcare associate infection russian federation abroad relevance care associate infection hais global problem modern healthcare trend growth pathology world resistance pathogen hospital infection antimicrobial important subjective complication expansion practice medical intervention shortage personnel medical institution etc work experience organize measure prevention hcai standpoint systematic foreign country good practice area work experience organize measure prevention hcai standpoint systematic foreign country good practice area base basic principle system tool functional universalization use comprehensive relation different area medical activity medical care sequence development implementation new russian foreign experience implementation hcai problem practical implementation preventive measure prevent occurrence hcai identify urgent task improve safety medical activity identify difference note prevention hais abroad concern resource provision molecular biological monitoring hai pathogens feature teamwork target communication medical team explanatory work implementation training program relative care hai measure propose increase medical personnel collective general medical epidemiologically safe skill professional activity develop patient education program personal prevention hcai davydova ma et al safety medical activity hcai prevention program systemic', 'individual- institution medical staff rural primary medical institution xinjiang production construction corps china cross sectional multi primary medical staff pm guardians population loss worsen shortage uneven distribution human resource immediately status rural pm xinjiang production construction corps xpcc china influencing atthe individual institutional reliable baseline intervention strategy protect valuable rural pm participant recruit rural public institution xpcc cross sectional multistage sampling process participant individual- institution indicator obtain standardized electronic statistical report regional administrative department key pms identify ingunivariateandmulti logistic regression overall 20.5 447/2182 participant report univariate show occurrence significantly marriage education age year working monthly income human resource practice serve population pcsp bed p < 0.05 multi logistic regression show degree intermediate professional title closely occurrence p < 0.05 age 41–50 year old high human resource practice high effectively odd p < 0.05 odd increase p < 0.10 pm institution pcsp people contrast odd decrease p < 0.05 pm institution bed government run primary medical institution face risk pms personal perspective high risk population fortheturnover mainly pm degree intermediate professional low risk population pm aged year high evaluation human resource practice perspective primary medical institution large institution size service population opposite lin li li guo guo china multi primary medical staff rural primary medical institution', 'general practitioner versus quality primary care cross sectional guangdong province china primary care china general practitioner gps non gps china general practice system chinese tend quality primary care gps low non gps gps presently prefer leave position well development big hospital weak gp system weak specially compare quality primary care chinese gps independent chinese gps stay compare quality primary care offer gps non gps independent gps work cross sectional apply multi stage random cluster november september guangdong province total effective select quality primary care assess primary care assessment tool pcat provider represent primary care ongoing care coordination i.e. referral information system i.e. service available service family community orientation cultural competence participate 40.6 gps ± 2.24 sum score represent quality primary care gps achieve significantly different total score score individual scale service available service community orientation linear regression gps high total score score service community orientation adjust sociodemographic characteristic gps likely intend stay coming year associate educational show gps report high quality primary care inclined stay comprehensive care community orientation gps resident reach basic medical care need crowd large hospital zou et al china general practitioner primary care assessment tool pcat quality primary care']"
